Binomial,Year,cwl,Body_mass.g.,Bill_width.mm.,Longitude_decimal_degrees,Latitude_decimal_degrees
Trichothraupis_melanops,2010,85,,,-48.892222,-25.985278
Trichothraupis_melanops,1999,83,24,,-47.841667,-21.971667
Trichothraupis_melanops,2006,,30,,-41.733333,-20.483333
Trichothraupis_melanops,1999,84,21,,-47.841667,-21.971667
Trichothraupis_melanops,1999,85,24,,-47.841667,-21.971667
Trichothraupis_melanops,1999,80,23,,-47.841667,-21.971667
Trichothraupis_melanops,2012,80,30,,-49.405145,-28.599546
Trichothraupis_melanops,2013,80.9,24,,-48.892222,-25.985278
Trichothraupis_melanops,2013,80,24,,-48.892222,-25.985278
Trichothraupis_melanops,2006,,22,,-47.436016,-23.880844
Trichothraupis_melanops,2012,85,27,,-49.405145,-28.599546
Trichothraupis_melanops,2012,80,30,9.1,-47.949986,-24.16386
Trichothraupis_melanops,2006,85,21,,-46.02,-23.039
Trichothraupis_melanops,2012,,24.5,9.6,-47.949986,-24.16386
Trichothraupis_melanops,2000,,24.5,,-48.416666,-24.316666
Trichothraupis_melanops,2017,80,,,-47.245302,-24.06865
Trichothraupis_melanops,2016,81.2,24,,-48.541493,-25.587558
Trichothraupis_melanops,2014,80,25,,-48.541493,-25.587558
Trichothraupis_melanops,2017,81,,,-47.253177,-24.086093
Trichothraupis_melanops,2006,,24.5,,-47.471961,-23.867741
Trichothraupis_melanops,2006,,20.5,,-46.02,-23.039
Trichothraupis_melanops,2015,73.2,20.5,,-54.487792,-25.619635
Trichothraupis_melanops,2007,,25,,-45.516684,-23.1
Trichothraupis_melanops,2013,83.4,25.5,,-49.671408,-28.649798
Trichothraupis_melanops,2009,,20.5,9.4,-47.55,-22.416667
Trichothraupis_melanops,2013,86,30,,-48.884167,-26.002222
Trichothraupis_melanops,2016,78,,,-47.253177,-24.086093
Trichothraupis_melanops,2006,,24,,-47.446516,-23.833638
Trichothraupis_melanops,2013,86,19.5,9.35,-47.949986,-24.16386
Trichothraupis_melanops,2006,,27,,-41.003333,-20.4
Trichothraupis_melanops,2006,84,17,,-46.02,-23.039
Trichothraupis_melanops,2004,,22,,-43.75,-20.85
Trichothraupis_melanops,2001,81,25,9.6,-48.512518,-27.531353
Trichothraupis_melanops,2009,,22,8.7,-47.55,-22.416667
Trichothraupis_melanops,2013,,,,-50.6967,-24.1431
Trichothraupis_melanops,2013,,,,-48.884167,-26.002222
Trichothraupis_melanops,2013,83,24,,-48.884167,-26.002222
Trichothraupis_melanops,2003,78.9,,,-48.541493,-25.587558
Trichothraupis_melanops,2010,82,,,-48.884167,-26.002222
Trichothraupis_melanops,2017,85,25,,-49.313417,-28.093417
Trichothraupis_melanops,1996,85,24,,-44.204194,-23.183073
Trichothraupis_melanops,2011,79,21,9,-50.6967,-24.1431
Trichothraupis_melanops,2006,,26,,-47.48322,-23.886254
Trichothraupis_melanops,2010,90,,,-48.884167,-26.002222
Trichothraupis_melanops,2006,80,22,,-46.02,-23.039
Trichothraupis_melanops,2012,88,24,6.4,-47.949986,-24.16386
Trichothraupis_melanops,2005,,24.5,,-47.449741,-23.843869
Trichothraupis_melanops,2009,,20,11.2,-47.55,-22.416667
Trichothraupis_melanops,2013,82,25,,-48.884167,-26.002222
Trichothraupis_melanops,2004,,24,,-43.75,-20.85
Trichothraupis_melanops,2000,,22.5,,-48.416666,-24.316666
Trichothraupis_melanops,2013,83,37,,-49.671408,-28.649798
Trichothraupis_melanops,2006,,,,-47.460382,-23.851281
Trichothraupis_melanops,2013,,23,,-47.949986,-24.16386
Trichothraupis_melanops,2006,,26,,-47.446516,-23.833638
Trichothraupis_melanops,2006,,23.5,,-47.446516,-23.833638
Trichothraupis_melanops,2000,,16.5,,-48.416666,-24.316666
Trichothraupis_melanops,2016,78,23,6.4,-44.188333,-23.010833
Trichothraupis_melanops,2005,,26,,-47.453913,-23.907938
Trichothraupis_melanops,2006,,21.7,,-47.480381,-23.876407
Trichothraupis_melanops,2006,,21,,-47.446516,-23.833638
Trichothraupis_melanops,2014,81.8,22,,-54.487792,-25.619635
Trichothraupis_melanops,2013,82.3,21,,-54.487792,-25.619635
Trichothraupis_melanops,2009,80,26,,-48.541493,-25.587558
Trichothraupis_melanops,2016,57,,,-47.253177,-24.086093
Trichothraupis_melanops,2006,,22.5,,-47.436016,-23.880844
Trichothraupis_melanops,2004,84.7,27,,-48.541493,-25.587558
Trichothraupis_melanops,2012,83,23.5,6,-47.949986,-24.16386
Trichothraupis_melanops,2007,,25,,-47.460399,-23.88904
