Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.06,-.39,-.14,-.02,-.78,-.50,-.31,-.16,-.12,-.05,.05,.70
1881,-.09,-.18,-.01,-.35,.09,-.08,-.84,-.45,-.23,.09,.09,-.07,-.07,.62
1882,-.12,-.22,-.02,-.31,-.06,.01,-1.34,-.27,-.17,-.06,-.06,.00,.04,.65
1883,-.18,-.29,-.07,-.35,-.18,-.02,-.11,-.55,-.28,-.19,-.17,-.05,.07,.52
1884,-.29,-.43,-.16,-.60,-.15,-.14,-1.24,-.64,-.48,-.13,-.18,-.20,-.02,.67
1885,-.34,-.44,-.25,-.66,-.15,-.28,-1.45,-.68,-.48,-.08,-.21,-.34,-.15,.85
1886,-.32,-.44,-.21,-.57,-.21,-.21,-1.53,-.50,-.42,-.23,-.19,-.21,-.20,.61
1887,-.37,-.44,-.29,-.52,-.32,-.28,-1.71,-.50,-.31,-.31,-.32,-.28,-.26,.34
1888,-.18,-.24,-.12,-.42,.08,-.29,-1.25,-.44,-.26,.05,.12,-.32,-.22,.18
1889,-.11,-.18,-.05,-.29,.06,-.16,-.63,-.23,-.29,-.01,.13,-.16,-.15,.47
1890,-.36,-.40,-.33,-.46,-.39,-.23,-1.08,-.57,-.29,-.29,-.48,-.18,-.27,.17
1891,-.23,-.26,-.20,-.42,-.09,-.22,-1.05,-.33,-.38,-.01,-.17,-.19,-.23,-.13
1892,-.28,-.40,-.16,-.43,-.31,-.08,-1.07,-.65,-.18,-.36,-.27,.01,-.21,.11
1893,-.32,-.48,-.16,-.50,-.38,-.05,-.61,-.54,-.48,-.44,-.32,.06,-.20,-.02
1894,-.31,-.39,-.22,-.32,-.36,-.24,-.91,-.33,-.19,-.50,-.20,-.15,-.35,-.35
1895,-.23,-.31,-.15,-.40,-.09,-.26,-.63,-.52,-.27,-.16,-.01,-.20,-.31,-.56
1896,-.12,-.20,-.04,-.34,.07,-.15,-.83,-.37,-.23,.02,.12,-.16,-.13,.28
1897,-.12,-.17,-.06,-.35,.15,-.24,-.52,-.46,-.25,.11,.19,-.20,-.27,.43
1898,-.28,-.29,-.27,-.35,-.24,-.27,-1.12,-.24,-.24,-.21,-.28,-.29,-.21,.40
1899,-.18,-.21,-.15,-.24,-.14,-.19,-.97,-.10,-.16,-.18,-.10,-.16,-.21,.61
1900,-.09,-.09,-.07,-.20,.15,-.30,-.49,-.15,-.16,.07,.23,-.29,-.29,.30
1901,-.16,-.12,-.19,-.15,-.05,-.30,-.30,-.10,-.16,-.08,-.03,-.28,-.33,.28
1902,-.29,-.34,-.23,-.53,-.06,-.35,-1.46,-.50,-.33,-.05,-.07,-.29,-.43,-.02
1903,-.38,-.38,-.37,-.46,-.31,-.39,-.17,-.42,-.57,-.26,-.35,-.36,-.40,-.48
1904,-.48,-.49,-.47,-.51,-.49,-.44,-.16,-.60,-.56,-.46,-.52,-.38,-.49,-1.31
1905,-.27,-.29,-.24,-.40,-.11,-.36,.02,-.23,-.63,-.13,-.08,-.33,-.37,-.32
1906,-.23,-.23,-.22,-.25,-.21,-.23,-.21,-.06,-.40,-.22,-.20,-.21,-.22,-.70
1907,-.39,-.47,-.31,-.58,-.32,-.29,-.52,-.72,-.52,-.31,-.34,-.22,-.36,-1.19
1908,-.43,-.46,-.41,-.48,-.46,-.36,-.20,-.54,-.52,-.43,-.49,-.29,-.48,.69
1909,-.49,-.50,-.49,-.53,-.50,-.44,-.70,-.62,-.44,-.45,-.55,-.38,-.52,-.56
1910,-.44,-.45,-.44,-.41,-.51,-.38,-.58,-.24,-.50,-.50,-.53,-.33,-.45,.17
1911,-.45,-.43,-.47,-.42,-.45,-.48,-.26,-.42,-.47,-.44,-.47,-.44,-.52,.06
1912,-.37,-.48,-.27,-.60,-.22,-.37,-.48,-.79,-.51,-.30,-.13,-.37,-.29,-1.62
1913,-.36,-.43,-.28,-.44,-.30,-.35,-.47,-.34,-.51,-.41,-.19,-.29,-.40,-1.03
1914,-.17,-.20,-.13,-.25,-.10,-.18,-.32,-.17,-.29,-.13,-.07,-.16,-.18,-.35
1915,-.15,-.14,-.15,-.23,-.03,-.22,-.56,-.17,-.19,-.02,-.05,-.15,-.23,-1.97
1916,-.37,-.42,-.32,-.37,-.47,-.23,-.47,-.54,-.24,-.51,-.43,-.23,-.17,-1.04
1917,-.46,-.58,-.37,-.50,-.65,-.19,-.77,-.50,-.43,-.69,-.61,-.23,-.09,.07
1918,-.30,-.40,-.21,-.40,-.35,-.14,-.97,-.27,-.35,-.39,-.31,-.06,-.22,-.27
1919,-.28,-.35,-.21,-.43,-.21,-.22,-.66,-.56,-.30,-.23,-.20,-.15,-.32,.21
