Main_researcher,n_records,n_wing,n_mass,yr_min,yr_max,span,n_years,in_early,in_late,in_early_wing,in_late_wing,n_species,n_municipalities,n_localities,prop_right,prop_left,prop_generic,mean_wing,prop_recapture_yes,prop_ring_present,spans_both,spans_both_wing
M.Pichorim,1718,625,1679,2010,2014,4,5,FALSE,TRUE,FALSE,TRUE,18,1,1,0,0,1,83.148624,1,0.99592549476135,FALSE,FALSE
E.Carrano,1101,1040,1075,1996,2017,21,21,TRUE,TRUE,TRUE,TRUE,42,5,5,1,0,0,70.5825,,0.991825613079019,TRUE,TRUE
C.Banks-Leite,936,0,863,2005,2007,2,3,TRUE,FALSE,FALSE,FALSE,25,2,0,,,,,0,0.97542735042735,FALSE,FALSE
A.Ross,762,618,752,2001,2016,15,11,TRUE,TRUE,TRUE,TRUE,45,8,14,1,0,0,69.7660194174757,0.20997375328084,0.989501312335958,TRUE,TRUE
V.Cavarzere,695,506,409,2009,2013,4,4,FALSE,TRUE,FALSE,TRUE,26,3,3,1,0,0,67.5270750988142,0.238848920863309,0.788489208633094,FALSE,FALSE
P.Antas,601,481,579,2005,2006,1,2,TRUE,FALSE,TRUE,FALSE,32,4,6,1,0,0,70.0935550935551,0.119800332778702,0.973377703826955,FALSE,FALSE
M.Alves,539,433,533,1995,2017,22,23,TRUE,TRUE,TRUE,TRUE,41,28,31,1,0,0,70.8475750577367,0,0.990723562152134,TRUE,TRUE
E.Hasui,440,0,436,1999,2002,3,4,TRUE,FALSE,FALSE,FALSE,17,3,3,,,,,0.234090909090909,0.775,FALSE,FALSE
C.Fontana,418,388,407,1999,2017,18,9,TRUE,TRUE,TRUE,TRUE,30,4,4,1,0,0,64.1244845360825,0.169082125603865,0.973684210526316,TRUE,TRUE
C.Duca,413,332,3,2009,2015,6,7,FALSE,TRUE,FALSE,TRUE,23,1,2,0,0,1,61.564186746988,,0.990314769975787,FALSE,FALSE
P.Affonso-Neto,382,376,379,2011,2018,7,7,FALSE,TRUE,FALSE,TRUE,20,2,4,0,0,1,75.6010638297873,0.274869109947644,0.965968586387435,FALSE,FALSE
A.Piratelli,353,295,349,2001,2017,16,8,TRUE,TRUE,TRUE,TRUE,21,4,4,0.538983050847458,0.308474576271186,0.152542372881356,72.102372881356,0.198300283286119,0.943342776203966,TRUE,TRUE
M.Pizo,337,169,329,2009,2017,8,8,FALSE,TRUE,FALSE,TRUE,23,4,5,0,0,1,108.937869822485,0.163204747774481,0.970326409495549,FALSE,FALSE
H.Araujo,334,311,320,2008,2017,9,6,FALSE,TRUE,FALSE,TRUE,22,2,2,0,0,1,64.7122186495177,,0.946107784431138,FALSE,FALSE
G.Menezes,275,159,80,2015,2017,2,3,FALSE,TRUE,FALSE,TRUE,19,1,1,0,0,1,71.8716981132075,0.265454545454545,0.803636363636364,FALSE,FALSE
A.Bispo,270,243,196,2000,2009,9,8,TRUE,FALSE,TRUE,FALSE,19,14,19,1,0,0,73.6281069958848,1,0.996296296296296,FALSE,FALSE
M.Vallejos,243,181,199,2010,2015,5,6,FALSE,TRUE,FALSE,TRUE,17,3,0,0,0,1,72.9737569060773,0.156378600823045,0.695473251028807,FALSE,FALSE
G.Benedicto,236,229,234,2015,2015,0,1,FALSE,TRUE,FALSE,TRUE,19,4,8,0,0,1,62.3296943231441,0.139830508474576,0,FALSE,FALSE
M.Francisco,236,226,218,1999,2005,6,6,TRUE,FALSE,TRUE,FALSE,19,9,9,0.946902654867257,0.0530973451327434,0,75.1522123893805,0,0.991525423728813,FALSE,FALSE
R.Gusmao;J.Correia,226,222,225,2015,2017,2,3,FALSE,TRUE,FALSE,TRUE,18,1,1,0,0,1,65.4864864864865,0.101769911504425,0.685840707964602,FALSE,FALSE
C.Gatto,192,182,191,2008,2010,2,3,FALSE,FALSE,FALSE,FALSE,13,3,3,0,0,1,57.8082417582418,0.344827586206897,0.994791666666667,FALSE,FALSE
L.Manica;A.Guaraldo,186,179,177,2014,2017,3,4,FALSE,TRUE,FALSE,TRUE,20,2,2,1,0,0,72.4472625698324,0.0376344086021505,0.989247311827957,FALSE,FALSE
J.Zocche,174,170,174,2012,2017,5,4,FALSE,TRUE,FALSE,TRUE,19,3,3,0,0,1,76.3229411764706,0.120689655172414,0.988505747126437,FALSE,FALSE
F.Santos,149,74,149,2012,2017,5,6,FALSE,TRUE,FALSE,TRUE,16,1,2,0,0,1,50.9368918918919,0,0.812080536912752,FALSE,FALSE
K.Ferraz,132,0,132,2011,2017,6,4,FALSE,TRUE,FALSE,FALSE,19,5,11,,,,,0.189393939393939,0.992424242424242,FALSE,FALSE
P.Serafini,132,130,123,2010,2015,5,6,FALSE,TRUE,FALSE,TRUE,19,3,6,0,0,1,66.1230769230769,0.00757575757575758,0.992424242424242,FALSE,FALSE
C.Lugarini,128,116,125,2015,2017,2,3,FALSE,TRUE,FALSE,TRUE,11,1,1,0,0,1,63.823275862069,0.265625,0.9921875,FALSE,FALSE
G.Wilrich;E.Silva,126,126,126,2012,2017,5,4,FALSE,TRUE,FALSE,TRUE,20,4,4,0,0,1,72.6825396825397,0,0.944444444444444,FALSE,FALSE
I.de Faria,115,0,115,2004,2007,3,3,TRUE,FALSE,FALSE,FALSE,17,14,0,,,,,0,0,FALSE,FALSE
C.Ferreira,105,104,105,2012,2017,5,6,FALSE,TRUE,FALSE,TRUE,20,6,4,0,0,1,71.0865384615385,0.0571428571428571,0.79047619047619,FALSE,FALSE
E.Arantes,67,61,66,2008,2009,1,2,FALSE,FALSE,FALSE,FALSE,14,5,5,0,0,1,68.6393442622951,0.0151515151515152,0.970149253731343,FALSE,FALSE
M.Efe,65,59,65,2010,2012,2,3,FALSE,FALSE,FALSE,FALSE,11,2,3,0,0,1,65.3040677966102,1,1,FALSE,FALSE
F.Goncalves,61,60,61,2007,2015,8,5,FALSE,TRUE,FALSE,TRUE,19,5,3,0,0,1,71.9666666666667,0.0327868852459016,0.983606557377049,FALSE,FALSE
R.Dias,60,60,60,2001,2004,3,4,TRUE,FALSE,TRUE,FALSE,14,1,1,0,0,1,89.7833333333334,0.233333333333333,1,FALSE,FALSE
L.Bugoni,57,54,55,1998,2013,15,5,TRUE,TRUE,TRUE,TRUE,12,4,11,0,0,1,76.9055555555556,0.0350877192982456,0.982456140350877,TRUE,TRUE
R.Donatelli,54,54,54,2015,2016,1,2,FALSE,TRUE,FALSE,TRUE,12,2,2,0,1,0,73.5370370370371,0.0185185185185185,0.888888888888889,FALSE,FALSE
R.Bobato,47,46,45,2014,2015,1,2,FALSE,TRUE,FALSE,TRUE,11,2,2,1,0,0,74.1215217391304,,0,FALSE,FALSE
J.Morante-Filho;I.Menezes;D.Faria,45,44,45,2017,2017,0,1,FALSE,TRUE,FALSE,TRUE,9,3,1,1,0,0,55.9097727272727,0,0,FALSE,FALSE
M.Carvalho,35,35,32,2005,2009,4,4,TRUE,FALSE,TRUE,FALSE,7,1,1,0,0,1,79.8628571428571,,1,FALSE,FALSE
C.Candia-Gallardo,33,29,9,2005,2006,1,2,TRUE,FALSE,TRUE,FALSE,9,1,2,0,0,1,77.9310344827586,0.121212121212121,0.909090909090909,FALSE,FALSE
C.Cestari,28,0,22,2009,2013,4,4,FALSE,TRUE,FALSE,FALSE,1,2,0,,,,,,0,FALSE,FALSE
N.Paes;A.Macarrao,25,25,25,2013,2014,1,2,FALSE,TRUE,FALSE,TRUE,9,1,1,0,0,1,74.48,0.12,1,FALSE,FALSE
M.Lima,18,15,18,2015,2015,0,1,FALSE,TRUE,FALSE,TRUE,6,1,1,1,0,0,76.0666666666667,0.166666666666667,0.888888888888889,FALSE,FALSE
A.C.M.M.Aquino,16,15,12,2014,2015,1,2,FALSE,TRUE,FALSE,TRUE,9,1,2,0,0,1,69.08,1,1,FALSE,FALSE
A.Crestani,3,3,2,2017,2018,1,2,FALSE,TRUE,FALSE,TRUE,3,1,1,0,0,1,76.6666666666667,,1,FALSE,FALSE
J.Silva,2,2,2,2014,2014,0,1,FALSE,TRUE,FALSE,TRUE,2,1,1,1,0,0,75.7,0,1,FALSE,FALSE
K.Barbosa,1,1,1,2016,2016,0,1,FALSE,TRUE,FALSE,TRUE,1,1,1,0,0,1,111,0,1,FALSE,FALSE
