Year,n_records,n_wing,n_contributors,n_contributors_wing,n_municipalities,n_species
1995,20,19,1,1,1,12
1996,81,62,2,2,3,15
1997,80,76,2,2,2,23
1998,57,51,3,3,3,16
1999,255,118,6,5,10,33
2000,231,48,4,3,10,24
2001,382,228,8,7,10,30
2002,382,340,8,7,11,44
2003,196,188,6,6,11,37
2004,406,297,8,7,22,43
2005,577,321,8,7,17,45
2006,1383,622,10,8,24,53
2007,361,201,8,6,23,47
2008,273,257,7,7,19,43
2009,424,350,13,11,28,50
2010,1452,1067,13,12,24,59
2011,980,582,13,11,25,59
2012,1211,781,16,15,31,64
2013,837,484,18,15,29,57
2014,732,430,19,19,24,57
2015,841,740,21,20,26,61
2016,656,568,17,16,22,62
2017,742,636,18,16,22,60
2018,12,12,2,2,2,8
