model,label,term,estimate,se,ci_lo,ci_hi,t,N,n_spp,n_src,n_site,n_ind,sample,mm_per_decade,mm_per_decade_lo,mm_per_decade_hi,pct_per_decade,singular,convergence_msg
M0,M0 baseline (= published brms structure),scaled_yr,-0.921682626207744,0.243941827826154,-1.39980860874701,-0.443556643668483,-3.77828859618362,8478,72,42,130,,w_all,-1.83604855795429,-2.78850496301168,-0.883592152896893,-2.58128336356957,FALSE,""
M1a_src,M0 + (1|contributor),scaled_yr,-0.678358454744494,0.20381187733812,-1.07782973432721,-0.278887175161778,-3.32835585248601,8478,72,42,130,,w_all,-1.35133182203328,-2.14710321444822,-0.555560429618334,-1.89982467280884,FALSE,""
M1b_site,M0 + (1|municipality),scaled_yr,-0.779201657801633,0.204733137856772,-1.18047860800091,-0.377924707602359,-3.80593813956365,8478,72,42,130,,w_all,-1.55221769346861,-2.35158609296322,-0.752849293974005,-2.18224822618695,FALSE,""
M1,M1 = M0 + (1|contributor) + (1|municipality),scaled_yr,-0.528183019271787,0.201210269267923,-0.922555147036915,-0.133810891506658,-2.62503012989104,8478,72,42,130,,w_all,-1.05217310524775,-1.83778667318466,-0.266559537310842,-1.47924025233704,FALSE,""
M0_cc,M0 on the complete-case sample,scaled_yr,-0.936233716763151,0.23652723097309,-1.39982708947041,-0.472640344055896,-3.9582491745725,8282,72,42,126,,w_cc,-1.86503522654415,-2.78854177775093,-0.941528675337371,-2.62203544775174,FALSE,""
M1_cc,M1 on the complete-case sample,scaled_yr,-0.342339490416531,0.186590851292223,-0.708057558949288,0.0233785781162265,-1.83470672889737,8282,72,42,126,,w_cc,-0.681961349641849,-1.41049426678078,0.0465715674970794,-0.958763034235492,FALSE,""
M2a_wingcol,M1 + wing-column protocol proxy,scaled_yr,-0.499905248855265,0.200837065018766,-0.893545896292046,-0.106264601418484,-2.48910851594328,8478,72,42,130,,w_all,-0.995842044946618,-1.7799984590175,-0.211685630875739,-1.40004494555846,FALSE,""
M2,M2 = M1 + wing_col + scaled_lon + scaled_alt,scaled_yr,-0.499565244253196,0.201331636223147,-0.894175251250564,-0.104955237255829,-2.48130524156423,8478,72,42,130,,w_all,-0.995164734838371,-1.78125217285691,-0.209077296819827,-1.39909272166066,FALSE,""
M3a_season,M2 + season,scaled_yr,-0.385411684732186,0.208404744184845,-0.793884983334483,0.0230616138701107,-1.84934218383409,8478,72,42,130,,w_all,-0.767763813540481,-1.58146778227791,0.0459401551969491,-1.07939190957503,FALSE,""
M3b_ring,M2 + season + (1|individual)  [= M3 without moult],scaled_yr,-0.365227603037541,0.206920631864391,-0.770792041491747,0.0403368354166657,-1.76506131721509,8478,72,42,130,7791,w_all,-0.727555879664626,-1.53546521983,0.0803534605007467,-1.02286395428343,FALSE,""
M3,M3 = M2 + season + moult + (1|individual),scaled_yr,-0.370410503361508,0.206499745093641,-0.775150003745044,0.0343289970220282,-1.79375767845882,8478,72,42,130,7791,w_all,-0.737880536325449,-1.54414654904601,0.0683854763951092,-1.03737929177693,FALSE,""
M4,M4 = M3 with (1 + scaled_yr || contributor),scaled_yr,-0.873052372543028,0.447299381764569,-1.74975916080158,0.00365441571552749,-1.95183004523478,8478,72,42,130,7791,w_all,-1.73917409751076,-3.48562801620276,0.00727982118125269,-2.4450884726369,FALSE,""
M5,"M5 = M3 with Mundlak year within/between municipality, latitude within/among species (REWB: species slope on yr_within_site)",yr_within_site,-0.735201637732072,0.48165569869323,-1.6792468071708,0.20884353170666,-1.52640493972506,8478,72,42,130,7791,w_all,-1.4645669435233,-3.34516306490555,0.416029177858959,-2.05902086291377,FALSE,""
M5,"M5 = M3 with Mundlak year within/between municipality, latitude within/among species (REWB: species slope on yr_within_site)",yr_site_mean,-0.273913782819642,0.245735425086065,-0.755555215988328,0.207727650349045,-1.11466949758549,8478,72,42,130,7791,w_all,-0.545653125760939,-1.5051125249892,0.413806273467317,-0.767128586934416,FALSE,""
M5_rsTotal,M5 with the species random slope on total scaled_yr,yr_within_site,-0.401696238022524,0.210411321748919,-0.814102428650405,0.0107099526053576,-1.90909992239801,8478,72,42,130,7791,w_all,-0.800203646662512,-1.62174217854222,0.0213348852171956,-1.12499876522823,FALSE,""
M5_rsTotal,M5 with the species random slope on total scaled_yr,yr_site_mean,-0.203193028960087,0.291451723151718,-0.774438406337454,0.368052348417279,-0.697175596571489,8478,72,42,130,7791,w_all,-0.404773028372614,-1.54272900318271,0.733182946437487,-0.56906658575743,FALSE,""
M5src,M3 with Mundlak year within/between CONTRIBUTOR (REWB: species slope on yr_within_src),yr_within_src,-0.157031977718768,0.326268239330252,-0.796517726806061,0.482453771368526,-0.481297162240235,8478,72,42,130,7791,w_all,-0.312817371234974,-1.58671236942429,0.961077626954347,-0.439786994034668,FALSE,""
M5src,M3 with Mundlak year within/between CONTRIBUTOR (REWB: species slope on yr_within_src),yr_src_mean,-1.28691548930332,0.573441263598963,-2.41086036595729,-0.162970612649355,-2.24419756825056,8478,72,42,130,7791,w_all,-2.56361491597849,-4.80258233417901,-0.324647497777973,-3.60416204927997,FALSE,""
M5src_rsTotal,M5src with the species random slope on total scaled_yr,yr_within_src,-0.344482791756222,0.207341919903711,-0.750872954767496,0.0619073712550506,-1.66142375799452,8478,72,42,130,7791,w_all,-0.686230937916713,-1.49578517225624,0.123323296422815,-0.96476560815188,FALSE,""
