model,label,term,estimate,se,ci_lo,ci_hi,t,z,within_tree_var,between_tree_var,N,n_spp,n_src,n_site,n_ind,sample,fixed,random,n_trees,converged,converged_default_start,n_retried,n_retry_accepted,secs,secs_retry,phylo_prop,species_level_prop,n_phylo_mode,n_iid_mode,year_term,mm_per_decade,mm_per_decade_lo,mm_per_decade_hi,pct_per_decade
M0,M0 baseline (= published brms structure),scaled_yr,-0.922126799225371,0.243882504359074,-1.40013650776916,-0.444117090681586,-3.78102890836197,-3.78102890836197,0.0594781192789773,5.45738702280069e-07,8478,72,42,130,,w_all,Sex + scaled_yr + scaled_lat,(1 + scaled_yr || spp),50,50,50,0,0,20.0093729496002,0.00366401672363281,0.956994517157085,0.956994569168731,50,0,TRUE,-1.83693337796207,-2.78915815805915,-0.884708597864996,-2.58252732367942
M1a_src,M0 + (1|contributor),scaled_yr,-0.679478430023046,0.203578226060992,-1.07849175310259,-0.280465106943502,-3.33767733008674,-3.33767733008674,0.0414439095157651,1.80990563882579e-07,8478,72,42,130,,w_all,Sex + scaled_yr + scaled_lat,(1 + scaled_yr || spp) + (1 | src),50,50,23,27,27,33.9161081314087,10.6382400989532,0.948270474897662,0.948272089916873,50,0,TRUE,-1.35356288176757,-2.1484219966226,-0.558703766912543,-1.90296129866239
M1b_site,M0 + (1|municipality),scaled_yr,-0.779973135040338,0.204918527169511,-1.18161344829258,-0.378332821788097,-3.80625971606333,-3.80625971606333,0.041991346761251,2.50996147466644e-07,8478,72,42,130,,w_all,Sex + scaled_yr + scaled_lat,(1 + scaled_yr || spp) + (1 | site),50,50,49,1,1,30.8280708789825,0.449878931045532,0.955471506283293,0.955471550232337,50,0,TRUE,-1.55375452364349,-2.35384676471919,-0.7536622825678,-2.18440884124578
M1,M1 = M0 + (1|contributor) + (1|municipality),scaled_yr,-0.528264464737061,0.201656665217868,-0.923511528564081,-0.13301740091004,-2.61962313105956,-2.61962313105956,0.0406652376189764,1.69615504730271e-07,8478,72,42,130,,w_all,Sex + scaled_yr + scaled_lat,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,29,21,21,50.3640718460083,12.5381028652191,0.943901617315954,0.943901656421565,50,0,TRUE,-1.05233534963082,-1.83969184409044,-0.264978855171193,-1.47946835018609
M0_cc,M0 on the complete-case sample,scaled_yr,-0.938582915273317,0.237320600031085,-1.40373129133424,-0.47343453921239,-3.95491548205414,-3.95491548205414,0.0563204124860564,6.41875547041684e-07,8282,72,42,126,,w_cc,Sex + scaled_yr + scaled_lat,(1 + scaled_yr || spp),50,50,50,0,0,19.0660400390625,0.00346899032592773,0.957669463537899,0.957669509574723,50,0,TRUE,-1.86971497466383,-2.79631918832398,-0.943110761003686,-2.62861466152836
M1_cc,M1 on the complete-case sample,scaled_yr,-0.343027720711334,0.188153942844106,-0.711809448685781,0.0257540072631127,-1.82312268096103,-1.82312268096103,0.0354016956665712,2.06412952648482e-07,8282,72,42,126,,w_cc,Sex + scaled_yr + scaled_lat,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,14,36,36,59.0865712165833,21.8392081260681,0.944768015394017,0.944769294693284,50,0,TRUE,-0.683332346777288,-1.41796826221523,0.0513035686606556,-0.960690506187079
M2a_wingcol,M1 + wing-column protocol proxy,scaled_yr,-0.500051357029051,0.201309634095537,-0.894618239856303,-0.105484474201798,-2.48399118738519,-2.48399118738519,0.0405254049399234,1.60627211299281e-07,8478,72,42,130,,w_all,Sex + scaled_yr + scaled_lat + wing_col,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,31,19,19,49.9227418899536,11.5143399238586,0.942116620042973,0.942116658975637,50,0,TRUE,-0.99613310142762,-1.78213463344327,-0.210131569411969,-1.400454139122
M2,M2 = M1 + wing_col + scaled_lon + scaled_alt,scaled_yr,-0.499901915831519,0.201862029158173,-0.895551492981539,-0.104252338681499,-2.47645343661839,-2.47645343661839,0.0407481256118189,1.50200035611324e-07,8478,72,42,130,,w_all,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,28,22,22,57.7495939731598,15.0478799343109,0.94161267995144,0.941612717395475,50,0,TRUE,-0.995835405358035,-1.78399373114792,-0.207677079568152,-1.40003561102345
M3a_season,M2 + season,scaled_yr,-0.385801545435966,0.209127036437943,-0.795690536854335,0.024087445982402,-1.84481907269054,-1.84481907269054,0.0437339471227741,1.66908375113161e-07,8478,72,42,130,,w_all,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,31,19,19,60.2174580097199,14.3018329143524,0.941087526098803,0.941087564278681,50,0,TRUE,-0.76854044007398,-1.58506455609372,0.0479836759457618,-1.08048376149907
M3b_ring,M2 + season + (1|individual)  [= M3 without moult],scaled_yr,-0.365730610711635,0.207747811164285,-0.772916320593634,0.0414550991703638,-1.76045470063903,-1.76045470063903,0.0431589870351596,1.6275332535458e-07,8478,72,42,130,7791,w_all,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,118.429193973541,0.00411391258239746,0.94135030976094,0.941350348346837,50,0,TRUE,-0.728557901931727,-1.53969691463557,0.0825811107721182,-1.02427268794507
M3,M3 = M2 + season + moult + (1|individual),scaled_yr,-0.37085148873535,0.207376163739745,-0.777308769665249,0.0356057921945498,-1.78830335197427,-1.78830335197427,0.0430047050688307,1.64920179076927e-07,8478,72,42,130,7791,w_all,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,121.826047182083,0.00401115417480469,0.941624440213699,0.941624477924675,50,0,TRUE,-0.738759006350486,-1.54844694371772,0.0709289310167469,-1.03861432450588
M4,M4 = M3 with (1 + scaled_yr || contributor),scaled_yr,-0.875366599483311,0.45016966320308,-1.75769913936135,0.00696594039472576,-1.94452596662076,-1.94452596662076,0.202652588064619,1.34905642362087e-07,8478,72,42,130,7791,w_all,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 + scaled_yr || src) + (1 | site) + (1 | ind),50,50,50,0,0,139.216287374496,0.00416016578674316,0.945701648715705,0.945701689539723,50,0,TRUE,-1.74378418010933,-3.50144494251809,0.0138765822994357,-2.45156974431395
M5,"M5 = M3 with Mundlak year within/between municipality, latitude within/among species (REWB: species slope on yr_within_site)",yr_site_mean,-0.274653440179344,0.249475953412244,-0.763626308867343,0.214319428508654,-1.10092149733364,-1.10092149733364,0.0622381978004201,5.24809099144179e-08,8478,72,42,130,7791,w_all,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_site || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,138.244765996933,0.00405001640319824,0.928761551700614,0.928761593516478,50,0,TRUE,-0.547126568777057,-1.52119063910381,0.426937501549702,-0.769200086584135
M5,"M5 = M3 with Mundlak year within/between municipality, latitude within/among species (REWB: species slope on yr_within_site)",yr_within_site,-0.737800932685839,0.483090971350002,-1.68465923653184,0.209057371160165,-1.52725051065237,-1.52725051065237,0.233376708369248,1.74735922221166e-07,8478,72,42,130,7791,w_all,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_site || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,138.244765996933,0.00405001640319824,0.928761551700614,0.928761593516478,50,0,TRUE,-1.4697448991621,-3.35594495754495,0.41645515922074,-2.0663005019461
M5_rsTotal,M5 with the species random slope on total scaled_yr,yr_site_mean,-0.204493186390292,0.295384772544492,-0.783447340577497,0.374460967796913,-0.692294273089146,-0.692294273089146,0.0872519415636239,2.1792895838489e-07,8478,72,42,130,7791,w_all,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,143.256780862808,0.00394701957702637,0.941346291284238,0.941346334281666,50,0,TRUE,-0.40736302205044,-1.56067535505027,0.745949310949388,-0.572707833459382
M5_rsTotal,M5 with the species random slope on total scaled_yr,yr_within_site,-0.402207654888829,0.211182691492374,-0.816125730213882,0.0117104204362247,-1.9045483891058,-1.9045483891058,0.0445979608515548,1.65033733778581e-07,8478,72,42,130,7791,w_all,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,143.256780862808,0.00394701957702637,0.941346291284238,0.941346334281666,50,0,TRUE,-0.80122242055842,-1.62577271987206,0.0233278787552219,-1.12643104984693
M5src,M3 with Mundlak year within/between CONTRIBUTOR (REWB: species slope on yr_within_src),yr_src_mean,-1.28980551704832,0.577164959106131,-2.42104883689634,-0.158562197200305,-2.23472595953482,-2.23472595953482,0.333119222795784,1.63945292759723e-07,8478,72,42,130,7791,w_all,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_src || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,137.934237003326,0.00392293930053711,0.941939135729267,0.941939178271965,50,0,TRUE,-2.5693720292437,-4.8228783957988,-0.315865662688606,-3.61225592056094
M5src,M3 with Mundlak year within/between CONTRIBUTOR (REWB: species slope on yr_within_src),yr_within_src,-0.158502356205994,0.326329507043279,-0.798108190010819,0.481103477598832,-0.4857126088355,-0.4857126088355,0.106490857422344,8.7985063498583e-08,8478,72,42,130,7791,w_all,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_src || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,137.934237003326,0.00392293930053711,0.941939135729267,0.941939178271965,50,0,TRUE,-0.315746455742323,-1.589880670085,0.958387758600355,-0.443904966338044
