Longitude_decimal_degrees,Latitude_decimal_degrees,n_early,n_late,n_contrib,shared
-56.891106,-20.519572,0,1,1,FALSE
-56.853557,-20.490824,0,6,1,FALSE
-56.667619,-20.845447,0,1,1,FALSE
-56.661151,-20.849214,0,3,1,FALSE
-56.638121,-20.494894,0,1,1,FALSE
-56.628816,-21.109779,0,4,1,FALSE
-56.626984,-21.102193,0,2,1,FALSE
-56.616446,-21.038099,0,1,1,FALSE
-56.533456,-21.192887,0,4,1,FALSE
-54.487792,-25.619635,0,87,1,FALSE
-53.38,-33.75,5,0,1,FALSE
-52.53671,-32.538503,60,0,1,FALSE
-52.51,-32.53,3,0,1,FALSE
-52.17,-32.2,2,0,1,FALSE
-52.17,-32.07,4,1,1,TRUE
-51.97104,-23.876274,15,0,1,FALSE
-51.952041,-23.893635,15,0,1,FALSE
-51.951507,-23.917488,38,0,1,FALSE
-51.94695,-23.866923,10,0,1,FALSE
-51.929803,-23.799715,1,0,1,FALSE
-51.737332,-30.057747,0,9,1,FALSE
-51.302929,-30.051014,243,0,1,FALSE
-51.2525,-23.4425,0,15,1,FALSE
-51.23,-30.05,6,0,1,FALSE
-51.22,-30.04,3,0,1,FALSE
-51.2,-30.1,2,0,1,FALSE
-51.19,-29.98,4,0,1,FALSE
-51.136167,-27.7955,0,7,1,FALSE
-51.12,-30.03,4,0,1,FALSE
-51.09,-30.1,19,0,1,FALSE
-50.901139,-28.007167,0,26,1,FALSE
-50.851889,-28.031444,0,21,1,FALSE
-50.723722,-28.285222,0,5,1,FALSE
-50.6967,-24.1431,0,33,1,FALSE
-50.372222,-29.099618,0,1,1,FALSE
-50.37222,-29.099616,0,1,1,FALSE
-50.186006,-29.499814,0,26,1,FALSE
-50.18545,-29.491353,0,17,1,FALSE
-50.178935,-29.482103,4,63,1,TRUE
-50.171519,-29.478818,0,15,1,FALSE
-50.162407,-29.472434,0,9,1,FALSE
-49.672487,-22.37698,0,53,1,FALSE
-49.671408,-28.649798,0,75,1,FALSE
-49.645556,-28.165556,0,2,1,FALSE
-49.641667,-28.153056,0,14,1,FALSE
-49.636667,-28.160833,0,30,1,FALSE
-49.635,-28.141667,0,1,1,FALSE
-49.618889,-28.1525,0,25,1,FALSE
-49.412429,-28.713794,0,24,1,FALSE
-49.405145,-28.599546,0,24,1,FALSE
-49.403256,-28.600583,0,2,1,FALSE
-49.402289,-22.529975,0,58,1,FALSE
-49.398056,-22.530694,0,222,1,FALSE
-49.356283,-25.583954,89,0,1,FALSE
-49.348803,-25.589976,53,0,1,FALSE
-49.313417,-28.093417,0,8,1,FALSE
-49.281345,-25.659151,1,0,1,FALSE
-49.254528,-28.137139,0,3,1,FALSE
-49.248873,-25.956569,3,0,1,FALSE
-49.223139,-28.167889,0,8,1,FALSE
-49.221108,-25.951109,18,0,1,FALSE
-49.078161,-25.505487,0,21,1,FALSE
-49.076722,-22.775,0,89,1,FALSE
-49.028117,-25.505973,0,50,1,FALSE
-48.992205,-25.49548,0,16,1,FALSE
-48.981171,-25.49618,0,49,1,FALSE
-48.895407,-25.97896,0,4,1,FALSE
-48.892222,-25.985278,0,7,1,FALSE
-48.884167,-26.002222,0,10,1,FALSE
-48.812205,-27.768275,15,0,1,FALSE
-48.810668,-27.73223,30,0,1,FALSE
-48.728,-24.538722,4,0,1,FALSE
-48.728,-24.534778,3,0,1,FALSE
-48.713889,-24.543389,3,0,1,FALSE
-48.704611,-28.104611,0,2,1,FALSE
-48.687917,-24.541833,4,0,1,FALSE
-48.681405,-25.29377,0,16,1,FALSE
-48.68104,-25.301984,0,14,1,FALSE
-48.675863,-25.301518,0,14,1,FALSE
-48.673631,-25.304749,0,38,1,FALSE
-48.673307,-25.289552,0,2,1,FALSE
-48.67189,-25.311564,0,19,1,FALSE
-48.664606,-25.283623,0,3,1,FALSE
-48.658873,-25.291068,0,10,1,FALSE
-48.656101,-25.279147,0,6,1,FALSE
-48.650869,-25.286414,0,2,1,FALSE
-48.648012,-25.273966,0,2,1,FALSE
-48.642632,-25.28218,0,4,1,FALSE
-48.541493,-25.587558,337,118,1,TRUE
-48.52396,-27.71722,18,0,1,FALSE
-48.52275,-27.632528,0,6,1,FALSE
-48.512518,-27.531353,19,0,1,FALSE
-48.4981,-27.4756,0,116,1,FALSE
-48.498056,-27.475556,0,7,1,FALSE
-48.474789,-27.585696,31,0,1,FALSE
-48.46,-23.29,112,0,1,FALSE
-48.422847,-25.356797,103,0,1,FALSE
-48.366667,-27.240278,0,4,1,FALSE
-48.34105,-25.14759,0,30,1,FALSE
-47.99475,-24.059833,3,0,1,FALSE
-47.964139,-24.069889,2,0,1,FALSE
-47.964139,-24.068639,2,0,1,FALSE
-47.9515,-24.063639,1,0,1,FALSE
-47.949986,-24.16386,0,40,1,FALSE
-47.946389,-24.061306,9,0,1,FALSE
-47.931944,-25.096389,8,0,1,FALSE
-47.86827,-21.1547,0,3,1,FALSE
-47.86805,-21.15444,0,1,1,FALSE
-47.86277,-21.16715,0,1,1,FALSE
-47.86277,-21.16583,0,1,1,FALSE
-47.85748,-21.16624,0,8,1,FALSE
-47.85306,-21.17113,0,1,1,FALSE
-47.841667,-21.971667,64,0,1,FALSE
-47.81,-23.95,126,0,1,FALSE
-47.7,-23.883333,0,5,1,FALSE
-47.684,-23.915,100,0,1,FALSE
-47.545152,-22.395381,0,3,1,FALSE
-47.543972,-22.396028,0,136,1,FALSE
-47.409444,-23.2475,0,3,1,FALSE
-47.403056,-23.24,0,15,1,FALSE
-47.253177,-24.086093,0,40,1,FALSE
-47.245302,-24.06865,0,88,1,FALSE
-47.198404,-24.045634,0,31,1,FALSE
