ID_ABT,Binomial,Family,Sex,Year,month,season,cwl,wing_col,Bill_width.mm.,Body_mass.g.,Main_researcher,Municipality,Locality,Longitude_decimal_degrees,Latitude_decimal_degrees,Altitude,Molt,Ring
MV0727,Trichothraupis_melanops,Thraupidae,Male,2010,6,JJA,85,generic,,,M.Vallejos,Garuva,,-48.892222,-25.985278,226,no,
MF0442,Trichothraupis_melanops,Thraupidae,Male,1999,6,JJA,83,right,,24,M.Francisco,São Carlos,Fazenda Canchin EMBRAPA São Carlos,-47.841667,-21.971667,768,,E37820
LI0351,Trichothraupis_melanops,Thraupidae,Male,2006,1,DJF,,,,30,I.de Faria,Ibitirama,,-41.733333,-20.483333,1326,,
MF0457,Trichothraupis_melanops,Thraupidae,Female,1999,8,JJA,84,right,,21,M.Francisco,São Carlos,Fazenda Canchin EMBRAPA São Carlos,-47.841667,-21.971667,768,,E37849
MF0443,Trichothraupis_melanops,Thraupidae,Male,1999,6,JJA,85,right,,24,M.Francisco,São Carlos,Fazenda Canchin EMBRAPA São Carlos,-47.841667,-21.971667,768,,E37823
MF0445,Trichothraupis_melanops,Thraupidae,Male,1999,7,JJA,80,right,,23,M.Francisco,São Carlos,Fazenda Canchin EMBRAPA São Carlos,-47.841667,-21.971667,768,,E37841
JS0049,Trichothraupis_melanops,Thraupidae,Female,2012,8,JJA,80,generic,,30,J.Zocche,Siderópolis,Proximidades da Subestação Eletrosul,-49.405145,-28.599546,155,no,E113573
MV0783,Trichothraupis_melanops,Thraupidae,Female,2013,5,MAM,80.9,generic,,24,M.Vallejos,Garuva,,-48.892222,-25.985278,226,no,
MV0782,Trichothraupis_melanops,Thraupidae,Female,2013,5,MAM,80,generic,,24,M.Vallejos,Garuva,,-48.892222,-25.985278,226,no,
CB1828,Trichothraupis_melanops,Thraupidae,Male,2006,8,JJA,,,,22,C.Banks-Leite,Piedade,,-47.436016,-23.880844,914,,F2604
JS0059,Trichothraupis_melanops,Thraupidae,Male,2012,8,JJA,85,generic,,27,J.Zocche,Siderópolis,Proximidades da Subestação Eletrosul,-49.405145,-28.599546,155,no,G101656
PC0360,Trichothraupis_melanops,Thraupidae,Female,2012,11,SON,80,right,9.1,30,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,F32017
PA1008,Trichothraupis_melanops,Thraupidae,Female,2006,3,MAM,85,right,,21,P.Antas,São José dos Campos,Fazenda Montes Claros,-46.02,-23.039,771,no,F03237
PC0426,Trichothraupis_melanops,Thraupidae,Female,2012,12,DJF,,,9.6,24.5,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,F32017
