Year,Main_researcher,n_wing
1995,M.Alves,19
1996,E.Carrano,3
1996,M.Alves,59
1997,E.Carrano,63
1997,M.Alves,13
1998,E.Carrano,29
1998,L.Bugoni,21
1998,M.Alves,1
1999,C.Fontana,4
1999,E.Carrano,8
1999,L.Bugoni,17
1999,M.Alves,26
1999,M.Francisco,63
2000,A.Bispo,14
2000,M.Alves,16
2000,M.Francisco,18
2001,A.Bispo,5
2001,A.Piratelli,36
2001,A.Ross,113
2001,E.Carrano,46
2001,M.Alves,17
2001,M.Francisco,4
2001,R.Dias,7
2002,A.Bispo,23
2002,A.Piratelli,51
2002,C.Fontana,16
2002,E.Carrano,133
2002,M.Alves,7
2002,M.Francisco,100
2002,R.Dias,10
2003,A.Bispo,18
2003,A.Piratelli,4
2003,C.Fontana,35
2003,E.Carrano,77
2003,M.Alves,31
2003,R.Dias,23
2004,A.Piratelli,27
2004,C.Fontana,40
2004,E.Carrano,124
2004,L.Bugoni,14
2004,M.Alves,34
2004,M.Francisco,38
2004,R.Dias,20
2005,C.Candia-Gallardo,25
2005,C.Fontana,77
2005,E.Carrano,30
2005,M.Alves,45
2005,M.Carvalho,4
2005,M.Francisco,3
2005,P.Antas,137
2006,A.Bispo,38
2006,A.Ross,45
2006,C.Candia-Gallardo,4
2006,C.Fontana,75
2006,E.Carrano,72
2006,M.Alves,20
2006,M.Carvalho,24
2006,P.Antas,344
2007,A.Bispo,62
2007,A.Ross,54
2007,E.Carrano,49
2007,F.Goncalves,7
2007,M.Alves,24
2007,M.Carvalho,5
2008,A.Bispo,62
2008,C.Gatto,74
2008,E.Arantes,32
2008,E.Carrano,32
2008,F.Goncalves,7
2008,H.Araujo,45
2008,M.Alves,5
2009,A.Bispo,21
2009,A.Ross,58
2009,C.Duca,21
2009,C.Gatto,68
2009,E.Arantes,29
2009,E.Carrano,24
2009,F.Goncalves,8
2009,H.Araujo,59
2009,M.Alves,22
2009,M.Carvalho,2
2009,V.Cavarzere,38
2010,A.Ross,94
2010,C.Duca,130
2010,C.Gatto,40
2010,E.Carrano,40
2010,F.Goncalves,15
2010,H.Araujo,97
2010,M.Alves,12
2010,M.Efe,2
2010,M.Pichorim,84
2010,M.Vallejos,59
2010,P.Serafini,37
2010,V.Cavarzere,457
2011,A.Ross,25
2011,C.Duca,114
2011,E.Carrano,58
2011,M.Alves,6
2011,M.Efe,15
2011,M.Pichorim,256
2011,M.Pizo,9
2011,M.Vallejos,18
2011,P.Affonso-Neto,7
2011,P.Serafini,68
2011,V.Cavarzere,6
2012,A.Piratelli,119
2012,A.Ross,81
2012,C.Duca,35
2012,C.Ferreira,8
2012,E.Carrano,47
2012,F.Santos,3
2012,G.Wilrich;E.Silva,48
2012,J.Zocche,45
2012,L.Bugoni,1
2012,M.Alves,21
2012,M.Efe,42
2012,M.Pichorim,251
2012,M.Pizo,24
2012,M.Vallejos,50
2012,P.Serafini,6
2013,A.Piratelli,40
2013,A.Ross,76
2013,C.Duca,11
2013,C.Ferreira,36
2013,E.Carrano,51
2013,G.Wilrich;E.Silva,51
2013,J.Zocche,90
2013,L.Bugoni,1
2013,M.Alves,8
2013,M.Pichorim,24
2013,M.Vallejos,43
2013,N.Paes;A.Macarrao,18
2013,P.Affonso-Neto,28
2013,P.Serafini,2
2013,V.Cavarzere,5
2014,A.C.M.M.Aquino,13
2014,A.Ross,18
2014,C.Duca,21
2014,C.Ferreira,28
2014,C.Fontana,2
2014,E.Carrano,65
2014,F.Santos,33
2014,G.Wilrich;E.Silva,8
2014,J.Silva,2
2014,J.Zocche,11
2014,L.Manica;A.Guaraldo,6
2014,M.Alves,13
2014,M.Pichorim,10
2014,M.Pizo,11
2014,M.Vallejos,6
2014,N.Paes;A.Macarrao,7
2014,P.Affonso-Neto,126
2014,P.Serafini,10
2014,R.Bobato,40
2015,A.C.M.M.Aquino,2
2015,A.Ross,50
2015,C.Ferreira,25
2015,C.Lugarini,14
2015,E.Carrano,19
2015,F.Goncalves,23
2015,F.Santos,25
2015,G.Benedicto,229
2015,G.Menezes,45
2015,H.Araujo,71
2015,L.Manica;A.Guaraldo,28
2015,M.Alves,15
2015,M.Lima,15
2015,M.Pizo,40
2015,M.Vallejos,5
2015,P.Affonso-Neto,48
2015,P.Serafini,7
2015,R.Bobato,6
2015,R.Donatelli,1
2015,R.Gusmao;J.Correia,72
2016,A.Piratelli,16
2016,A.Ross,4
2016,C.Ferreira,1
2016,C.Fontana,61
2016,C.Lugarini,40
2016,E.Carrano,33
2016,F.Santos,13
2016,G.Menezes,61
2016,H.Araujo,27
2016,K.Barbosa,1
2016,L.Manica;A.Guaraldo,32
2016,M.Alves,17
2016,M.Pizo,35
2016,P.Affonso-Neto,61
2016,R.Donatelli,53
2016,R.Gusmao;J.Correia,113
2017,A.Crestani,1
2017,A.Piratelli,2
2017,C.Ferreira,6
2017,C.Fontana,78
2017,C.Lugarini,62
2017,E.Carrano,37
2017,G.Menezes,53
2017,G.Wilrich;E.Silva,19
2017,H.Araujo,12
2017,J.Morante-Filho;I.Menezes;D.Faria,44
2017,J.Zocche,24
2017,L.Manica;A.Guaraldo,113
2017,M.Alves,2
2017,M.Pizo,50
2017,P.Affonso-Neto,96
2017,R.Gusmao;J.Correia,37
2018,A.Crestani,2
2018,P.Affonso-Neto,10
