model,spp,ranef_yr,se_ranef,slope,fixed,se_fixed,se_total,lo,hi,mm_per_decade,mm_per_decade_lo,mm_per_decade_hi,n,yr_min,yr_max,n_src,n_site,mean_wing,pct_per_decade
M3,Tiaris_fuliginosus,-5.56923583696689,0.602542684092006,-5.9396463403284,-0.370410503361508,0.206499745093641,0.636945704810494,-7.18805992175697,-4.69123275889983,-11.8321413334967,-14.3190580776513,-9.34522458934204,29,1997,2016,11,13,58.5,-20.2258826213619
M3,Molothrus_bonariensis,-3.33611185643262,0.880782198834754,-3.70652235979413,-0.370410503361508,0.206499745093641,0.904665367142969,-5.47966647939435,-1.93337824019391,-7.38362082588659,-10.9158331202988,-3.85140853147439,30,1998,2014,5,5,104.37,-7.07446663398159
M3,Pyriglena_pernambucensis,-2.98091271714543,0.917563400504016,-3.35132322050693,-0.370410503361508,0.206499745093641,0.94051301887227,-5.19472873749658,-1.50791770351728,-6.67604226366698,-10.3482195890872,-3.00386493824678,39,2007,2017,3,2,75.625641025641,-8.82774965359098
M3,Arremon_taciturnus,-1.92204493489273,0.626580978305531,-2.29245543825424,-0.370410503361508,0.206499745093641,0.659731662949456,-3.58552949763517,-0.999381378873304,-4.56671242562019,-7.14259559250039,-1.99082925874,114,2005,2017,7,9,71.2078947368421,-6.41321084199591
M3,Tangara_seledon,-1.33551912689533,0.609125234712312,-1.70592963025684,-0.370410503361508,0.206499745093641,0.643176256003801,-2.96655509202429,-0.445304168489387,-3.39831689189135,-5.9095604538123,-0.887073329970406,43,2003,2017,6,7,70.3476744186047,-4.83074518095599
M3,Turdus_flavipes,-1.05054887849685,0.319183800802709,-1.42095938185836,-0.370410503361508,0.206499745093641,0.380158445149654,-2.16606993435168,-0.675848829365038,-2.83063860572827,-4.31494471774728,-1.34633249370926,119,1995,2017,12,24,109.306722689076,-2.58962901465819
M3,Taraba_major,-1.02616730956317,0.755687651990821,-1.39657781292468,-0.370410503361508,0.206499745093641,0.783393880557627,-2.93202981881763,0.138874192968271,-2.78206901874849,-5.84078398316873,0.276645945671745,41,1999,2017,7,16,90.9731707317073,-3.05812031874013
M3,Stephanophorus_diadematus,-1.01302753897097,0.563777199369374,-1.38343804233248,-0.370410503361508,0.206499745093641,0.600405592289507,-2.56023300321991,-0.206643081445045,-2.75589378644871,-5.10014182748561,-0.411645745411814,29,2001,2017,5,5,92.3413793103448,-2.98446244471461
M3,Turdus_amaurochalinus,-0.832007304940193,0.478228375002764,-1.2024178083017,-0.370410503361508,0.206499745093641,0.520907403845945,-2.22339631983975,-0.181439296763648,-2.3952903312005,-4.42914240837878,-0.361438254022215,90,2001,2017,10,11,110.96,-2.15869712617204
M3,Turdus_nigriceps,-0.694061977866662,0.859568339362032,-1.06447248122817,-0.370410503361508,0.206499745093641,0.884024815690906,-2.79716111998235,0.668216157526005,-2.12049474360004,-5.57211722850878,1.33112774130869,29,1997,2017,8,9,107.137931034483,-1.97921942595434
M3,Volatinia_jacarina,-0.669503068759699,0.574710120101488,-1.03991357212121,-0.370410503361508,0.206499745093641,0.61068311493835,-2.23685247740037,0.157025333157959,-2.07157188407268,-4.45594790300597,0.312804134860604,79,1999,2018,13,16,50.3253164556962,-4.11636136634409
M3,Conopophaga_melanops,-0.518295416874752,0.246871961989715,-0.88870592023626,-0.370410503361508,0.206499745093641,0.321850757868286,-1.5195334056581,-0.25787843481442,-1.77035692861964,-3.02700413232383,-0.513709724915445,215,1995,2017,16,27,64.6128372093023,-2.73994612384048
M3,Antilophia_galeata,-0.514768709041638,0.808656117766669,-0.885179212403146,-0.370410503361508,0.206499745093641,0.83460581206052,-2.52100660404176,0.750648179235473,-1.7633315094057,-5.02200042436389,1.4953374055525,60,2007,2017,5,9,79.8616666666667,-2.20798235624813
M3,Tachyphonus_rufus,-0.493643799161099,0.563880749960641,-0.864054302522607,-0.370410503361508,0.206499745093641,0.600502826721002,-2.04103984289577,0.312931237850558,-1.72124938783782,-4.0658770749481,0.623378299272469,551,2006,2017,7,7,86.5722323049002,-1.98822340837385
M3,Tangara_sayaca,-0.464103541384443,1.05308184374595,-0.834514044745951,-0.370410503361508,0.206499745093641,1.0731372299716,-2.93786301549028,1.26883492599838,-1.66240337495854,-5.85240407020796,2.52759732029088,27,2003,2016,6,7,88.3444444444445,-1.88172938933805
M3,Passer_domesticus,-0.386785698380032,0.926842694708404,-0.75719620174154,-0.370410503361508,0.206499745093641,0.949568073103806,-2.618349625025,1.10395722154192,-1.50838146967811,-5.21591371753136,2.19915077817514,10,2002,2018,4,4,75.1,-2.0084972965088
M3,Formicivora_grisea,-0.374365939839554,0.809670843468558,-0.744776443201062,-0.370410503361508,0.206499745093641,0.835589025470551,-2.38253093312334,0.892978046721218,-1.48364054573099,-4.74614835916047,1.77886726769848,79,2006,2017,6,10,53.9417721518987,-2.75044828255382
M3,Ilicura_militaris,-0.369260324827647,0.638270171460224,-0.739670828189155,-0.370410503361508,0.206499745093641,0.670843466465615,-2.05452402246176,0.575182366083451,-1.47346984617181,-4.09273839113586,1.14579869879225,22,2002,2017,9,12,59.0409090909091,-2.49567608097465
M3,Geothlypis_aequinoctialis,-0.314638327837987,0.28713211784978,-0.685048831199494,-0.370410503361508,0.206499745093641,0.353676402696927,-1.37825458048547,0.00815691808648222,-1.36465946399276,-2.74556801119941,0.0162490832138798,354,1995,2017,14,19,56.1634180790961,-2.42980130246148
M3,Ceratopipra_rubrocapilla,-0.302052324562896,0.551968291957803,-0.672462827924404,-0.370410503361508,0.206499745093641,0.589331095438339,-1.82755177498355,0.482626119134741,-1.33958737029526,-3.6405956949101,0.961420954319568,121,1995,2017,7,11,62.3086776859504,-2.14992103836175
M3,Thamnophilus_ambiguus,-0.295016489814414,0.565906367820765,-0.665426993175922,-0.370410503361508,0.206499745093641,0.602405313608562,-1.8461414078487,0.515287421496859,-1.32557155413834,-3.6776273885153,1.02648428023861,70,1995,2016,4,14,68.4757142857143,-1.93582727535694
M3,Habia_rubica,-0.282557810621558,0.296581843004538,-0.652968313983066,-0.370410503361508,0.206499745093641,0.361390279785867,-1.36129326236336,0.055356634397232,-1.30075309785456,-2.71178002085046,0.110273825141337,225,1995,2018,24,40,92.1494222222222,-1.41156945587542
M3,Machaeropterus_regulus,-0.268278305887742,0.940116563850806,-0.63868880924925,-0.370410503361508,0.206499745093641,0.962528596120856,-2.52524485764613,1.24786723914763,-1.27230744494831,-5.03044328657835,2.48582839668173,31,2008,2017,3,6,52.5190322580645,-2.42256452612557
M3,Thamnophilus_doliatus,-0.193515212236425,0.995742714591562,-0.563925715597933,-0.370410503361508,0.206499745093641,1.01692954445523,-2.55710762273017,1.42925619153431,-1.12337475772658,-5.09391587705747,2.84716636160431,24,2007,2017,7,9,73.8125,-1.52193023908766
