model,spp,ranef_yr,se_ranef,slope,fixed,se_fixed,se_total,lo,hi,mm_per_decade,mm_per_decade_lo,mm_per_decade_hi,n,yr_min,yr_max,n_src,n_site,mean_wing,pct_per_decade,tree_name,slope_tree_min,slope_tree_max,n_trees
M3,Tiaris_fuliginosus,-5.57167637958034,0.684390216930121,-5.94252786831569,-0.37085148873535,0.207376163739745,0.715117994728124,-7.34415913798281,-4.54089659864857,-11.837881514721,-14.6300173305435,-9.04574569889856,29,1997,2016,11,13,58.5,-20.235694896959,Asemospiza_fuliginosa,-5.9517740645682,-5.9342088590507,50
M3,Molothrus_bonariensis,-3.46659291344444,0.96526817386718,-3.83744440217979,-0.37085148873535,0.207376163739745,0.987292561019095,-5.77253782177721,-1.90235098258236,-7.64442559782381,-11.4992508723081,-3.7896003233395,30,1998,2014,5,5,104.37,-7.32435143990017,Molothrus_bonariensis,-3.88494973496937,-3.78475974688528,50
M3,Pyriglena_pernambucensis,-2.97233883097033,0.988302419414104,-3.34319031970568,-0.37085148873535,0.207376163739745,1.00982526981161,-5.32244784853643,-1.36393279087493,-6.65984102436451,-10.6026439245146,-2.7170381242144,39,2007,2017,3,2,75.625641025641,-8.80632670882945,Pyriglena_leuconota,-3.35003153495672,-3.33452936586042,50
M3,Arremon_taciturnus,-1.92744283213452,0.64736446752586,-2.29829432086987,-0.37085148873535,0.207376163739745,0.679768729142842,-3.63064102998984,-0.965947611749898,-4.57834383940804,-7.23246054337582,-1.92422713544027,114,2005,2017,7,9,71.2078947368421,-6.42954528613421,Arremon_taciturnus,-2.30333042815428,-2.2945832796599,50
M3,Tangara_seledon,-1.33847545545087,0.630044642445791,-1.70932694418622,-0.37085148873535,0.207376163739745,0.663294750441373,-3.00938465505131,-0.40926923332113,-3.40508455047967,-5.99487958124028,-0.815289519719065,43,2003,2017,6,7,70.3476744186047,-4.84036548275594,Tangara_seledon,-1.71502605326613,-1.70450256422266,50
M3,Turdus_flavipes,-1.04847888584446,0.357587925294853,-1.41933037457981,-0.37085148873535,0.207376163739745,0.413368844959935,-2.22953331070128,-0.609127438458332,-2.82739352289863,-4.44136767215298,-1.21341937364427,119,1995,2017,12,24,109.306722689076,-2.58666022852152,Turdus_flavipes,-1.4200685784561,-1.41847601624609,50
M3,Stephanophorus_diadematus,-1.00956947238601,0.579626496552181,-1.38042096112136,-0.37085148873535,0.207376163739745,0.615606612351819,-2.58700992133093,-0.173832000911795,-2.74988357485375,-5.15348309755649,-0.346284052151018,29,2001,2017,5,5,92.3413793103448,-2.9779537574502,Stephanophorus_diadematus,-1.3816214274161,-1.37962414733392,50
M3,Taraba_major,-1.00454553400826,0.770015571504039,-1.37539702274361,-0.37085148873535,0.207376163739745,0.797452169667305,-2.93840327529152,0.187609229804312,-2.73987558018027,-5.85348030100671,0.373729140646165,41,1999,2017,7,16,90.9731707317073,-3.01174022862251,Taraba_major,-1.38595098487541,-1.37071788973591,50
M3,Turdus_amaurochalinus,-0.818393661976517,0.496228005622604,-1.18924515071187,-0.37085148873535,0.207376163739745,0.537816583165016,-2.2433656537153,-0.135124647708435,-2.36904958597592,-4.46892255137265,-0.26917662057919,90,2001,2017,10,11,110.96,-2.13504829305688,Turdus_amaurochalinus,-1.19104395326132,-1.1862178107764,50
M3,Turdus_nigriceps,-0.75033039923528,0.868143362778863,-1.12118188797063,-0.37085148873535,0.207376163739745,0.892568241452922,-2.87061564121836,0.628251865277097,-2.23346337457049,-5.71844315888408,1.2515164097431,29,1997,2017,8,9,107.137931034483,-2.08466166277902,Turdus_nigriceps,-1.12487469644446,-1.09872905758792,50
M3,Volatinia_jacarina,-0.668762980180972,0.591059851928537,-1.03961446891632,-0.37085148873535,0.207376163739745,0.626383214380904,-2.26732556910289,0.188096631270249,-2.07097605206675,-4.51665217851893,0.37470007438543,79,1999,2018,13,16,50.3253164556962,-4.11517740557067,Volatinia_jacarina,-1.04187373412468,-1.03720835064512,50
M3,Conopophaga_melanops,-0.519113417126212,0.296820199636573,-0.889964905861562,-0.37085148873535,0.207376163739745,0.362086936759818,-1.59965530191081,-0.180274509812318,-1.77286490552632,-3.18661188437685,-0.359117926675791,215,1995,2017,16,27,64.6128372093023,-2.74382766969887,Conopophaga_melanops,-0.890911088402723,-0.88925904730367,50
M3,Tachyphonus_rufus,-0.487911367679506,0.584567910960998,-0.858762856414855,-0.37085148873535,0.207376163739745,0.620261437080182,-2.07447527309201,0.356949560262302,-1.71070850129035,-4.13248251119135,0.711065508610657,551,2006,2017,7,7,86.5722323049002,-1.97604757985837,Tachyphonus_rufus,-0.860575866762012,-0.857011669330087,50
M3,Tangara_sayaca,-0.434364355686265,1.05738349034682,-0.805215844421614,-0.37085148873535,0.207376163739745,1.07752649341224,-2.9171677715096,1.30673608266637,-1.60403955543263,-5.81117786957577,2.60309875871051,27,2003,2016,6,7,88.3444444444445,-1.81566545074754,Thraupis_sayaca,-0.810606543718007,-0.798845747427875,50
M3,Antilophia_galeata,-0.407991497413896,0.816066948608904,-0.778842986149246,-0.37085148873535,0.207376163739745,0.842008875873678,-2.42918038286165,0.871494410563163,-1.55150319744643,-4.83907693618464,1.73607054129179,60,2007,2017,5,9,79.8616666666667,-1.94273831514464,Chiroxiphia_galeata,-0.839157957735999,-0.749395603977054,50
M3,Passer_domesticus,-0.375123891847472,0.932060549797064,-0.745975380582822,-0.37085148873535,0.207376163739745,0.9548515556107,-2.61748442957979,1.12553366841415,-1.48602890283816,-5.21419019491701,2.24213238924069,10,2002,2018,4,4,75.1,-1.97873355903883,Passer_domesticus,-0.750145969997768,-0.740935909882658,50
M3,Ilicura_militaris,-0.371119583732689,0.651665658140785,-0.741971072468039,-0.37085148873535,0.207376163739745,0.683866128798678,-2.08234868491345,0.59840653997737,-1.47805207444768,-4.14816683246407,1.19206268356872,22,2002,2017,9,12,59.0409090909091,-2.50343718822457,Ilicura_militaris,-0.743321972036337,-0.740681321419353,50
M3,Formicivora_grisea,-0.370291135532482,0.818806503385318,-0.741142624267832,-0.37085148873535,0.207376163739745,0.844658966685376,-2.39667419897117,0.914388950435505,-1.47640175460864,-4.77432261581486,1.82151910659758,79,2006,2017,6,10,53.9417721518987,-2.73702864349937,Formicivora_grisea,-0.742916850019968,-0.739225650045259,50
M3,Geothlypis_aequinoctialis,-0.311717301560603,0.323696700498158,-0.682568790295953,-0.37085148873535,0.207376163739745,0.384426755549495,-1.43604523117296,0.0709076505810569,-1.35971906976688,-2.86069054670231,0.141252407168551,354,1995,2017,14,19,56.1634180790961,-2.42100483957718,Geothlypis_aequinoctialis,-0.683330383401501,-0.68138401824032,50
M3,Thamnophilus_ambiguus,-0.293874420755295,0.585522952029808,-0.664725909490645,-0.37085148873535,0.207376163739745,0.62116152743015,-1.88220250325374,0.552750684272449,-1.32417495225744,-3.74946331156952,1.10111340705464,70,1995,2016,4,14,68.4757142857143,-1.93378771739763,Thamnophilus_ambiguus,-0.665602062632878,-0.663922575086621,50
M3,Ceratopipra_rubrocapilla,-0.287975658704069,0.565073673903803,-0.658827147439419,-0.37085148873535,0.207376163739745,0.601924393508995,-1.83859895871705,0.520944663838211,-1.3124242549459,-3.66260236530466,1.03775385541285,121,1995,2017,7,11,62.3086776859504,-2.106326604395,Ceratopipra_rubrocapilla,-0.664620158334315,-0.656754150571203,50
M3,Habia_rubica,-0.28198135100868,0.33564212221649,-0.65283283974403,-0.37085148873535,0.207376163739745,0.394537954888411,-1.42612723132532,0.120461551837255,-1.30048322482653,-2.84093328015494,0.239966830501888,225,1995,2018,24,40,92.1494222222222,-1.41127659128492,Habia_rubica,-0.65338250027701,-0.652305391341337,50
M3,Machaeropterus_regulus,-0.272385451766894,0.944584900217036,-0.643236940502244,-0.37085148873535,0.207376163739745,0.967080760106026,-2.53871523031005,1.25224134930557,-1.28136760252425,-5.05727709856684,2.49454189351833,31,2008,2017,3,6,52.5190322580645,-2.43981571524005,Machaeropterus_regulus,-0.646490254290291,-0.639649677417621,50
M3,Chiroxiphia_caudata,-0.169858991009088,0.24742148464356,-0.540710479744438,-0.37085148873535,0.207376163739745,0.32283425800486,-1.17346562543396,0.0920446659450869,-1.07712857807713,-2.33761579975939,0.183358643605124,576,1996,2018,23,51,74.43234375,-1.44712435993544,Chiroxiphia_caudata,-0.540981332735339,-0.540328835162965,50
M3,Thamnophilus_doliatus,-0.156678356001259,1.00077116466745,-0.527529844736609,-0.37085148873535,0.207376163739745,1.02203242540929,-2.53071339853882,1.4756537090656,-1.05087194134458,-5.04133695684471,2.93959307415556,24,2007,2017,7,9,73.8125,-1.42370457760485,Thamnophilus_doliatus,-0.541452167703975,-0.517334002085253,50
M3,Trichothraupis_melanops,-0.11286382806824,0.253606136031108,-0.48371531680359,-0.37085148873535,0.207376163739745,0.327598233856391,-1.12580785516212,0.158377221554938,-0.963590703159736,-2.24267858612983,0.31549717981036,463,1995,2018,23,48,80.9872570194385,-1.18980533311365,Trichothraupis_melanops,-0.483927361939677,-0.483472230334653,50
M3,Dacnis_cayana,-0.103968440187187,0.504503899818758,-0.474819928922537,-0.37085148873535,0.207376163739745,0.545462003235689,-1.54392545526449,0.594285597419414,-0.945870542632624,-3.07559459744915,1.1838535121839,90,1997,2016,15,21,64.0777777777778,-1.47612881631587,Dacnis_cayana,-0.476073624144077,-0.474119578994988,50
M3,Coereba_flaveola,-0.0820280743341288,1.00067252872099,-0.452879563069479,-0.37085148873535,0.207376163739745,1.0219350022006,-2.45587216738265,1.5501130412437,-0.902163982543449,-4.89224861490083,3.08792064981393,21,2003,2017,4,4,54.8476190476191,-1.64485532500542,Coereba_flaveola,-0.457078493394411,-0.447931226704736,50
