Year,wing_col,n,prop,n_year
1995,right,19,1,19
1996,right,62,1,62
1997,right,76,1,76
1998,generic,21,0.411764705882353,51
1998,right,30,0.588235294117647,51
1999,generic,17,0.14406779661017,118
1999,right,101,0.855932203389831,118
2000,right,48,1,48
2001,generic,7,0.0307017543859649,228
2001,left,36,0.157894736842105,228
2001,right,185,0.81140350877193,228
2002,generic,10,0.0294117647058824,340
2002,left,58,0.170588235294118,340
2002,right,272,0.8,340
2003,generic,23,0.122340425531915,188
2003,left,4,0.0212765957446809,188
2003,right,161,0.856382978723404,188
2004,generic,61,0.205387205387205,297
2004,left,5,0.0168350168350168,297
2004,right,231,0.777777777777778,297
2005,generic,29,0.0903426791277258,321
2005,right,292,0.909657320872274,321
2006,generic,28,0.045016077170418,622
2006,right,594,0.954983922829582,622
2007,generic,12,0.0597014925373134,201
2007,right,189,0.940298507462687,201
2008,generic,158,0.614785992217899,257
2008,right,99,0.385214007782101,257
2009,generic,187,0.534285714285714,350
2009,right,163,0.465714285714286,350
2010,generic,464,0.434864104967198,1067
2010,right,603,0.565135895032802,1067
2011,generic,487,0.836769759450172,582
2011,right,95,0.163230240549828,582
2012,generic,513,0.65685019206146,781
2012,right,268,0.34314980793854,781
2013,generic,304,0.628099173553719,484
2013,right,180,0.371900826446281,484
2014,generic,284,0.66046511627907,430
2014,right,146,0.33953488372093,430
2015,generic,606,0.818918918918919,740
2015,left,1,0.00135135135135135,740
2015,right,133,0.17972972972973,740
2016,generic,368,0.647887323943662,568
2016,left,53,0.0933098591549296,568
2016,right,147,0.258802816901408,568
2017,generic,362,0.569182389937107,636
2017,right,274,0.430817610062893,636
2018,generic,12,1,12
