Year,mean,sd,n,se,figure
1995,0.7069804938678859,2.412400367992185,19,0.5534426008125404,fig-wingtrend
1996,2.0605707668974445,2.4848600629229756,62,0.31557754356891926,fig-wingtrend
1997,0.1336446692400095,5.181781498370794,76,0.5943911026028175,fig-wingtrend
1998,2.1368390949835763,8.961695714410338,51,1.2548884028007963,fig-wingtrend
1999,1.0801639396746496,3.2290313111129016,118,0.29725642654094814,fig-wingtrend
2000,0.7138746119863192,3.1679538159784513,48,0.45725474710886527,fig-wingtrend
2001,0.5007847617380418,3.0633979897393497,228,0.20287848799888888,fig-wingtrend
2002,0.34504727265321394,4.243654756150532,340,0.23014449226901315,fig-wingtrend
2003,0.23184079508280886,5.020577896954766,188,0.36616327612691213,fig-wingtrend
2004,0.35138444400762975,4.190907354909965,297,0.24318110955674016,fig-wingtrend
2005,0.14776806810194068,4.847308122270526,321,0.2705503565466274,fig-wingtrend
2006,0.9241249253297452,5.430615444691452,622,0.21774784122999633,fig-wingtrend
2007,1.0273932799512855,5.098302976805782,201,0.3596065653008799,fig-wingtrend
2008,-0.052331492371742866,3.429880871339851,257,0.21395009047061717,fig-wingtrend
2009,-0.20036611684929045,3.495893784211424,350,0.18686338287245402,fig-wingtrend
2010,0.5095847907400759,3.677921859433028,1067,0.11259530672555428,fig-wingtrend
2011,-0.1041196446881369,3.2571790707658863,582,0.13501441630443145,fig-wingtrend
2012,0.260245306257753,5.130671226504018,781,0.18358985084910528,fig-wingtrend
2013,0.02160795964025372,3.7663849769839715,484,0.17119931713563508,fig-wingtrend
2014,0.07911742362651188,5.2703639063082885,430,0.25415951640431866,fig-wingtrend
2015,-0.20566960202127943,3.939831841156311,740,0.1448310989104444,fig-wingtrend
2016,-1.7841186414750179,6.083720731212536,568,0.25526725133583317,fig-wingtrend
2017,-1.755433109848202,5.489527374554412,636,0.21767391946167686,fig-wingtrend
2018,0.3759447104442142,2.955167292809715,12,0.8530833160020334,fig-wingtrend
